Permit,Brand
PL/10171/EXP/ES/2015,Pemex
PL/10172/EXP/ES/2015,Pemex
PL/10173/EXP/ES/2015,Pemex
PL/10174/EXP/ES/2015,Pemex
PL/10175/EXP/ES/2015,Pemex
PL/10176/EXP/ES/2015,Pemex
PL/10177/EXP/ES/2015,Pemex
PL/10178/EXP/ES/2015,Pemex
PL/10179/EXP/ES/2015,Pemex
PL/1018/EXP/ES/2015,G500
PL/10180/EXP/ES/2015,Pemex
PL/10181/EXP/ES/2015,Pemex
PL/10182/EXP/ES/2015,Pemex
PL/10183/EXP/ES/2015,Mobil
PL/10184/EXP/ES/2015,Pemex
PL/10185/EXP/ES/2015,Pemex
PL/10186/EXP/ES/2015,Pemex
PL/10187/EXP/ES/2015,Pemex
PL/10188/EXP/ES/2015,Pemex
PL/10189/EXP/ES/2015,Pemex
PL/1019/EXP/ES/2015,G500
PL/10190/EXP/ES/2015,Pemex
PL/10191/EXP/ES/2015,Pemex
PL/10192/EXP/ES/2015,Pemex
PL/10193/EXP/ES/2015,Pemex
PL/10194/EXP/ES/2015,Windstar
PL/10195/EXP/ES/2015,Pemex
PL/10196/EXP/ES/2015,Pemex
PL/10197/EXP/ES/2015,Pemex
PL/10198/EXP/ES/2015,Pemex
PL/10199/EXP/ES/2015,Pemex
PL/1020/EXP/ES/2015,G500
PL/10200/EXP/ES/2015,Pemex
PL/10201/EXP/ES/2015,Pemex
PL/10202/EXP/ES/2015,Pemex
PL/10203/EXP/ES/2015,G500
PL/10204/EXP/ES/2015,Pemex
PL/10205/EXP/ES/2015,Pemex
PL/10206/EXP/ES/2015,Pemex
PL/10207/EXP/ES/2015,Pemex
PL/10208/EXP/ES/2015,Pemex
PL/10209/EXP/ES/2015,Pemex
PL/1021/EXP/ES/2015,BP
PL/10210/EXP/ES/2015,Pemex
PL/10211/EXP/ES/2015,Pemex
PL/10212/EXP/ES/2015,Pemex
PL/10213/EXP/ES/2015,Pemex
PL/10214/EXP/ES/2015,Pemex
PL/10215/EXP/ES/2015,Pemex
PL/10216/EXP/ES/2015,Pemex
PL/10217/EXP/ES/2015,Pemex
PL/10218/EXP/ES/2015,Pemex
PL/10219/EXP/ES/2015,Pemex
PL/1022/EXP/ES/2015,G500
PL/10220/EXP/ES/2015,Pemex
PL/10221/EXP/ES/2015,Pemex
PL/10222/EXP/ES/2015,Pemex
PL/10223/EXP/ES/2015,BP
PL/10224/EXP/ES/2015,Pemex
PL/10225/EXP/ES/2015,Pemex
PL/10226/EXP/ES/2015,Pemex
PL/10227/EXP/ES/2015,Pemex
PL/10228/EXP/ES/2015,Pemex
PL/10229/EXP/ES/2015,Pemex
PL/1023/EXP/ES/2015,G500
PL/10230/EXP/ES/2015,Pemex
PL/10231/EXP/ES/2015,Pemex
PL/10232/EXP/ES/2015,Pemex
PL/10233/EXP/ES/2015,Total
PL/10234/EXP/ES/2015,Pemex
PL/10235/EXP/ES/2015,Pemex
PL/10236/EXP/ES/2015,Pemex
PL/10237/EXP/ES/2015,Pemex
PL/10238/EXP/ES/2015,Pemex
PL/10239/EXP/ES/2015,Pemex
PL/1024/EXP/ES/2015,G500
PL/10240/EXP/ES/2015,Pemex
PL/10241/EXP/ES/2015,Pemex
PL/10242/EXP/ES/2015,Pemex
PL/10243/EXP/ES/2015,Pemex
PL/10244/EXP/ES/2015,Windstar
PL/10245/EXP/ES/2015,Pemex
PL/10246/EXP/ES/2015,Pemex
PL/10247/EXP/ES/2015,Pemex
PL/10248/EXP/ES/2015,Pemex
PL/10249/EXP/ES/2015,Pemex
PL/1025/EXP/ES/2015,Chevron
PL/10250/EXP/ES/2015,Oxxo Gas
PL/10251/EXP/ES/2015,Repsol
PL/10252/EXP/ES/2015,Pemex
PL/10253/EXP/ES/2015,Pemex
PL/10254/EXP/ES/2015,Pemex
PL/10255/EXP/ES/2015,Pemex
PL/10256/EXP/ES/2015,Pemex
PL/10257/EXP/ES/2015,Pemex
PL/10258/EXP/ES/2015,Pemex
PL/10259/EXP/ES/2015,Pemex
PL/1026/EXP/ES/2015,Chevron
PL/10260/EXP/ES/2015,Pemex
PL/10261/EXP/ES/2015,Pemex
PL/10262/EXP/ES/2015,Pemex
PL/10263/EXP/ES/2015,Pemex
PL/10264/EXP/ES/2015,Pemex
PL/10265/EXP/ES/2015,Pemex
PL/10266/EXP/ES/2015,Pemex
PL/10267/EXP/ES/2015,Pemex
PL/10268/EXP/ES/2015,Pemex
PL/10269/EXP/ES/2015,Pemex
PL/1027/EXP/ES/2015,Chevron
PL/10270/EXP/ES/2015,Pemex
PL/10271/EXP/ES/2015,Pemex
PL/10272/EXP/ES/2015,Pemex
PL/10273/EXP/ES/2015,Pemex
PL/10274/EXP/ES/2015,Comborsa
PL/10275/EXP/ES/2015,Pemex
PL/10276/EXP/ES/2015,Pemex
PL/10277/EXP/ES/2015,Pemex
PL/10278/EXP/ES/2015,BP
PL/10279/EXP/ES/2015,Pemex
PL/1028/EXP/ES/2015,Pemex
PL/10280/EXP/ES/2015,Pemex
PL/10281/EXP/ES/2015,Pemex
PL/10282/EXP/ES/2015,Pemex
PL/10283/EXP/ES/2015,Pemex
PL/10284/EXP/ES/2015,Pemex
PL/10285/EXP/ES/2015,Pemex
PL/10286/EXP/ES/2015,Pemex
PL/10287/EXP/ES/2015,Pemex
PL/10288/EXP/ES/2015,Pemex
PL/10289/EXP/ES/2015,Pemex
PL/1029/EXP/ES/2015,Chevron
PL/10290/EXP/ES/2015,Pemex
PL/10291/EXP/ES/2015,Pemex
PL/10292/EXP/ES/2015,Pemex
PL/10293/EXP/ES/2015,Pemex
PL/10294/EXP/ES/2015,Pemex
PL/10295/EXP/ES/2015,Pemex
PL/10296/EXP/ES/2015,Pemex
PL/10297/EXP/ES/2015,Pemex
PL/10298/EXP/ES/2015,Pemex
PL/10299/EXP/ES/2015,Pemex
PL/1030/EXP/ES/2015,Chevron
PL/10300/EXP/ES/2015,Pemex
PL/10301/EXP/ES/2015,Pemex
PL/10302/EXP/ES/2015,Pemex
PL/10303/EXP/ES/2015,Pemex
PL/10304/EXP/ES/2015,Pemex
PL/10305/EXP/ES/2015,Pemex
PL/10306/EXP/ES/2015,Pemex
PL/10307/EXP/ES/2015,Pemex
PL/10308/EXP/ES/2015,Pemex
PL/10309/EXP/ES/2015,Pemex
PL/1031/EXP/ES/2015,Chevron
PL/10310/EXP/ES/2015,Pemex
PL/10311/EXP/ES/2015,Repsol
PL/10312/EXP/ES/2015,Pemex
PL/10313/EXP/ES/2015,Pemex
PL/10314/EXP/ES/2015,BP
PL/10315/EXP/ES/2015,Pemex
PL/10316/EXP/ES/2015,Pemex
PL/10317/EXP/ES/2015,Repsol
PL/10318/EXP/ES/2015,Pemex
PL/10319/EXP/ES/2015,Pemex
PL/1032/EXP/ES/2015,Pemex
PL/10320/EXP/ES/2015,Pemex
PL/10321/EXP/ES/2015,Pemex
PL/10322/EXP/ES/2015,Pemex
PL/10323/EXP/ES/2015,Gulf
PL/10324/EXP/ES/2015,Repsol
PL/10325/EXP/ES/2015,Pemex
PL/10326/EXP/ES/2015,Pemex
PL/10327/EXP/ES/2015,Repsol
PL/10328/EXP/ES/2015,Pemex
PL/10329/EXP/ES/2015,Pemex
PL/1033/EXP/ES/2015,Pemex
PL/10330/EXP/ES/2015,Pemex
PL/10331/EXP/ES/2015,Pemex
PL/10332/EXP/ES/2015,Arco
PL/10333/EXP/ES/2015,Pemex
PL/10334/EXP/ES/2015,Pemex
PL/10335/EXP/ES/2015,Pemex
PL/10336/EXP/ES/2015,Pemex
PL/10337/EXP/ES/2015,Pemex
PL/10338/EXP/ES/2015,Pemex
PL/10339/EXP/ES/2015,Pemex
PL/1034/EXP/ES/2015,La Gas
PL/10340/EXP/ES/2015,Pemex
PL/10341/EXP/ES/2015,Pemex
PL/10342/EXP/ES/2015,Pemex
PL/10343/EXP/ES/2015,Pemex
PL/10344/EXP/ES/2015,Oxxo Gas
PL/10345/EXP/ES/2015,Pemex
PL/10346/EXP/ES/2015,Pemex
PL/10347/EXP/ES/2015,Pemex
PL/10348/EXP/ES/2015,Pemex
PL/10349/EXP/ES/2015,Gulf
PL/1035/EXP/ES/2015,Shell
PL/1035/EXP/ES/MM/2015,Shell
PL/10350/EXP/ES/2015,Pemex
PL/10351/EXP/ES/2015,Pemex
PL/10352/EXP/ES/2015,Pemex
PL/10353/EXP/ES/2015,Pemex
PL/10354/EXP/ES/2015,Pemex
PL/10355/EXP/ES/2015,Pemex
PL/10356/EXP/ES/2015,Pemex
PL/10357/EXP/ES/2015,Pemex
PL/10358/EXP/ES/2015,Pemex
PL/10359/EXP/ES/2015,Pemex
PL/1036/EXP/ES/2015,Pemex
PL/10360/EXP/ES/2015,Pemex
PL/10361/EXP/ES/2015,Pemex
PL/10362/EXP/ES/2015,Gulf
PL/10363/EXP/ES/2015,Repsol
PL/10364/EXP/ES/2015,Pemex
PL/10365/EXP/ES/2015,Pemex
PL/10366/EXP/ES/2015,Pemex
PL/10367/EXP/ES/2015,Pemex
PL/10368/EXP/ES/2015,Shell
PL/10369/EXP/ES/2015,Pemex
PL/1037/EXP/ES/2015,BP
PL/10370/EXP/ES/2015,Pemex
PL/10371/EXP/ES/2015,Pemex
PL/1038/EXP/ES/2015,Pemex
PL/1039/EXP/ES/2015,Pemex
PL/1040/EXP/ES/2015,BP
PL/1041/EXP/ES/2015,Pemex
PL/1042/EXP/ES/2015,Pemex
PL/1043/EXP/ES/2015,BP
PL/1044/EXP/ES/2015,BP
PL/1045/EXP/ES/2015,Pemex
PL/1046/EXP/ES/2015,Pemex
PL/1047/EXP/ES/2015,Pemex
PL/1048/EXP/ES/2015,Oxxo Gas
PL/1049/EXP/ES/2015,Pemex
PL/1050/EXP/ES/2015,Shell
PL/1051/EXP/ES/2015,Pemex
PL/1052/EXP/ES/2015,Pemex
PL/1053/EXP/ES/2015,Pemex
PL/1054/EXP/ES/2015,Pemex
PL/10546/EXP/ES/2015,Pemex
PL/10547/EXP/ES/2015,Pemex
PL/10548/EXP/ES/2015,Pemex
PL/10549/EXP/ES/2015,Pemex
PL/1055/EXP/ES/2015,Pemex
PL/10550/EXP/ES/2015,Pemex
PL/10551/EXP/ES/2015,Pemex
PL/10552/EXP/ES/2015,La Gas
PL/10553/EXP/ES/2015,Pemex
PL/10554/EXP/ES/2015,La Gas
PL/10555/EXP/ES/2015,Total
PL/10556/EXP/ES/2015,Pemex
PL/10557/EXP/ES/2015,Pemex
PL/10558/EXP/ES/2015,Pemex
PL/10559/EXP/ES/2015,Pemex
PL/1056/EXP/ES/2015,Pemex
PL/10560/EXP/ES/2015,Pemex
PL/10561/EXP/ES/2015,Pemex
PL/10562/EXP/ES/2015,Pemex
PL/10563/EXP/ES/2015,Pemex
PL/10564/EXP/ES/2015,Pemex
PL/10565/EXP/ES/2015,Pemex
PL/10566/EXP/ES/2015,Pemex
PL/10567/EXP/ES/2015,Arco
PL/10568/EXP/ES/2015,Pemex
PL/10569/EXP/ES/2015,Pemex
PL/1057/EXP/ES/2015,Shell
PL/10570/EXP/ES/2015,Oxxo Gas
PL/10571/EXP/ES/2015,Pemex
PL/10572/EXP/ES/2015,Pemex
PL/10573/EXP/ES/2015,Pemex
PL/10574/EXP/ES/2015,Pemex
PL/10575/EXP/ES/2015,Pemex
PL/10576/EXP/ES/2015,Pemex
PL/10577/EXP/ES/2015,Pemex
PL/10578/EXP/ES/2015,Arco
PL/10579/EXP/ES/2015,Pemex
PL/1058/EXP/ES/2015,Pemex
PL/10580/EXP/ES/2015,Pemex
PL/10581/EXP/ES/2015,Pemex
PL/10582/EXP/ES/2015,G500
PL/10583/EXP/ES/2015,Mobil
PL/10584/EXP/ES/2015,G500
PL/10585/EXP/ES/2015,Mobil
PL/10586/EXP/ES/2015,Mobil
PL/10587/EXP/ES/2015,Pemex
PL/10588/EXP/ES/2015,Pemex
PL/10589/EXP/ES/2015,Mobil
PL/1059/EXP/ES/2015,Pemex
PL/10590/EXP/ES/2015,Pemex
PL/10591/EXP/ES/2015,Pemex
PL/10592/EXP/ES/2015,Pemex
PL/10593/EXP/ES/2015,Pemex
PL/10594/EXP/ES/2015,Pemex
PL/10595/EXP/ES/2015,Pemex
PL/10596/EXP/ES/2015,Pemex
PL/10597/EXP/ES/2015,Pemex
PL/10598/EXP/ES/2015,Mobil
PL/10599/EXP/ES/2015,Repsol
PL/1060/EXP/ES/2015,Pemex
PL/10600/EXP/ES/2015,Pemex
PL/10601/EXP/ES/2015,Pemex
PL/10602/EXP/ES/2015,Pemex
PL/10603/EXP/ES/2015,Pemex
PL/10604/EXP/ES/2015,Pemex
PL/10605/EXP/ES/2015,Gulf
PL/10606/EXP/ES/2015,Pemex
PL/10607/EXP/ES/2015,Pemex
PL/10608/EXP/ES/2015,Mobil
PL/10609/EXP/ES/2015,Pemex
PL/1061/EXP/ES/2015,Pemex
PL/10610/EXP/ES/2015,Mobil
PL/10611/EXP/ES/2015,Pemex
PL/10612/EXP/ES/2015,Mobil
PL/10613/EXP/ES/2015,Pemex
PL/10614/EXP/ES/2015,Pemex
PL/10615/EXP/ES/2015,Pemex
PL/10616/EXP/ES/2015,Pemex
PL/10617/EXP/ES/2015,Pemex
PL/10618/EXP/ES/2015,Pemex
PL/10619/EXP/ES/2015,Pemex
PL/1062/EXP/ES/2015,Pemex
PL/10620/EXP/ES/2015,Pemex
PL/10621/EXP/ES/2015,BP
PL/10622/EXP/ES/2015,Pemex
PL/10623/EXP/ES/2015,Pemex
PL/10624/EXP/ES/2015,Pemex
PL/10625/EXP/ES/2015,Pemex
PL/10626/EXP/ES/2015,Pemex
PL/10627/EXP/ES/2015,Pemex
PL/10628/EXP/ES/2015,Pemex
PL/10629/EXP/ES/2015,BP
PL/1063/EXP/ES/2015,Pemex
PL/10630/EXP/ES/2015,Pemex
PL/10631/EXP/ES/2015,Pemex
PL/10632/EXP/ES/2015,Pemex
PL/10633/EXP/ES/2015,Pemex
PL/10634/EXP/ES/2015,Pemex
PL/10635/EXP/ES/2015,Pemex
PL/10636/EXP/ES/2015,Pemex
PL/10637/EXP/ES/2015,Pemex
PL/10638/EXP/ES/2015,Pemex
PL/10639/EXP/ES/2015,Pemex
PL/1064/EXP/ES/2015,Pemex
PL/10640/EXP/ES/2015,Pemex
PL/10641/EXP/ES/2015,Pemex
PL/10642/EXP/ES/2015,Pemex
PL/10643/EXP/ES/2015,Pemex
PL/10644/EXP/ES/2015,Pemex
PL/10645/EXP/ES/2015,Pemex
PL/10646/EXP/ES/2015,Pemex
PL/10647/EXP/ES/2015,Pemex
PL/10648/EXP/ES/2015,Pemex
PL/10649/EXP/ES/2015,Pemex
PL/1065/EXP/ES/2015,Pemex
PL/10650/EXP/ES/2015,Pemex
PL/10651/EXP/ES/2015,Pemex
PL/10652/EXP/ES/2015,Pemex
PL/10653/EXP/ES/2015,Pemex
PL/10654/EXP/ES/2015,Pemex
PL/10655/EXP/ES/2015,Pemex
PL/10656/EXP/ES/2015,Pemex
PL/10657/EXP/ES/2015,Pemex
PL/10658/EXP/ES/2015,Pemex
PL/10659/EXP/ES/2015,Pemex
PL/1066/EXP/ES/2015,Pemex
PL/10660/EXP/ES/2015,Pemex
PL/10661/EXP/ES/2015,Pemex
PL/10662/EXP/ES/2015,Arco
PL/10663/EXP/ES/2015,Pemex
PL/10664/EXP/ES/2015,Pemex
PL/10665/EXP/ES/2015,Pemex
PL/10666/EXP/ES/2015,Pemex
PL/10667/EXP/ES/2015,Pemex
PL/10668/EXP/ES/2015,Pemex
PL/10669/EXP/ES/2015,Pemex
PL/1067/EXP/ES/2015,Oxxo Gas
PL/10670/EXP/ES/2015,Arco
PL/10671/EXP/ES/2015,Pemex
PL/10672/EXP/ES/2015,Pemex
PL/10673/EXP/ES/2015,Pemex
PL/10674/EXP/ES/2015,Pemex
PL/10675/EXP/ES/2015,Pemex
PL/10676/EXP/ES/2015,Pemex
PL/10677/EXP/ES/2015,Pemex
PL/10678/EXP/ES/2015,Pemex
PL/10679/EXP/ES/2015,Pemex
PL/1068/EXP/ES/2015,Pemex
PL/10680/EXP/ES/2015,Pemex
PL/10681/EXP/ES/2015,Pemex
PL/10682/EXP/ES/2015,Pemex
PL/10683/EXP/ES/2015,Pemex
PL/10684/EXP/ES/2015,Pemex
PL/10685/EXP/ES/2015,Pemex
PL/10686/EXP/ES/2015,Pemex
PL/10687/EXP/ES/2015,Pemex
PL/10688/EXP/ES/2015,Pemex
PL/10689/EXP/ES/2015,Pemex
PL/1069/EXP/ES/2015,Pemex
PL/10690/EXP/ES/2015,Pemex
PL/10691/EXP/ES/2015,Pemex
PL/10692/EXP/ES/2015,Pemex
PL/10693/EXP/ES/2015,Pemex
PL/10694/EXP/ES/2015,Pemex
PL/10695/EXP/ES/2015,Pemex
PL/10696/EXP/ES/2015,Pemex
PL/10697/EXP/ES/2015,Pemex
PL/10698/EXP/ES/2015,BP
PL/10699/EXP/ES/2015,Pemex
PL/1070/EXP/ES/2015,Pemex
PL/10700/EXP/ES/2015,Pemex
PL/10701/EXP/ES/2015,Pemex
PL/10702/EXP/ES/2015,Pemex
PL/10703/EXP/ES/2015,Pemex
PL/10704/EXP/ES/2015,Pemex
PL/10705/EXP/ES/2015,Pemex
PL/10706/EXP/ES/2015,Pemex
PL/10707/EXP/ES/2015,Pemex
PL/10708/EXP/ES/2015,Pemex
PL/10709/EXP/ES/2015,Pemex
PL/1071/EXP/ES/2015,La Gas
PL/10710/EXP/ES/2015,Oxxo Gas
PL/10711/EXP/ES/2015,Pemex
PL/10712/EXP/ES/2015,Pemex
PL/10713/EXP/ES/2015,Pemex
PL/10714/EXP/ES/2015,Pemex
PL/10715/EXP/ES/2015,Pemex
PL/10716/EXP/ES/2015,Arco
PL/10717/EXP/ES/2015,Pemex
PL/10718/EXP/ES/2015,Arco
PL/10719/EXP/ES/2015,Pemex
PL/1072/EXP/ES/2015,Pemex
PL/10720/EXP/ES/2015,Pemex
PL/10721/EXP/ES/2015,Repsol
PL/10722/EXP/ES/2015,Pemex
PL/10723/EXP/ES/2015,Pemex
PL/10724/EXP/ES/2015,Oxxo Gas
PL/10725/EXP/ES/2015,Pemex
PL/10726/EXP/ES/2015,Pemex
PL/10727/EXP/ES/2015,Pemex
PL/10728/EXP/ES/2015,Pemex
PL/10729/EXP/ES/2015,Pemex
PL/1073/EXP/ES/2015,Pemex
PL/10730/EXP/ES/2015,Pemex
PL/10731/EXP/ES/2015,G500
PL/10732/EXP/ES/2015,Pemex
PL/10733/EXP/ES/2015,Pemex
PL/10734/EXP/ES/2015,Pemex
PL/10735/EXP/ES/2015,Pemex
PL/10736/EXP/ES/2015,Pemex
PL/10737/EXP/ES/2015,Total
PL/10738/EXP/ES/2015,Pemex
PL/10739/EXP/ES/2015,Pemex
PL/1074/EXP/ES/2015,G500
PL/10740/EXP/ES/2015,Pemex
PL/10741/EXP/ES/2015,Pemex
PL/10742/EXP/ES/2015,Pemex
PL/10743/EXP/ES/2015,Pemex
PL/10744/EXP/ES/2015,Pemex
PL/10745/EXP/ES/2015,Pemex
PL/10746/EXP/ES/2015,Pemex
PL/10747/EXP/ES/2015,Pemex
PL/10748/EXP/ES/2015,Pemex
PL/10749/EXP/ES/2015,Pemex
PL/1075/EXP/ES/2015,Pemex
PL/10750/EXP/ES/2015,Pemex
PL/10751/EXP/ES/2015,Pemex
PL/10752/EXP/ES/2015,Pemex
PL/10753/EXP/ES/2015,Pemex
PL/10754/EXP/ES/2015,Pemex
PL/10755/EXP/ES/2015,Pemex
PL/10756/EXP/ES/2015,Repsol
PL/10757/EXP/ES/2015,Gulf
PL/10758/EXP/ES/2015,Pemex
PL/10759/EXP/ES/2015,Pemex
PL/1076/EXP/ES/2015,Pemex
PL/10760/EXP/ES/2015,Pemex
PL/10761/EXP/ES/2015,Arco
PL/10762/EXP/ES/2015,Pemex
